"census_tract","smoke_alarm_risk","tract_pop","blocks_per_tract"
"01073000",0.76257895088302,1414,25
"01073001",0.736537891168567,1312,24
"01073002",0.67141035614755,2216,29
"01073003",0.748587337009761,2622,42
"01073004",0.622113361656596,1767,24
"01073005",0.712488349369448,3792,50
"01073010",0.677308210521509,6526,75
"01073011",0.667568684642465,9819,86
"01073012",0.648954453273541,9051,87
"01073013",0.75772207248676,2205,27
"01073014",0.60869473822289,5811,49
"01115040",0.628698400261526,5330,39
"01117030",0.547757923016052,14807,111
"01117980",0.395211051106909,NA,1
"01127020",0.652897764089043,2362,26
"01127021",0.655701414052802,3409,32
"04013010",0.232218025231619,490,6
"04013030",0.208952334998279,392,6
"04013040",0.323978901311473,6140,69
"04013050",0.432713564163851,3919,33
"04013060",0.507875057402048,1535,20
"04013061",0.395021851053511,11763,120
"04013071",0.437319388241584,7172,92
"04013082",0.485418655277543,6920,57
"04013083",0.667381958136588,326,3
"04013092",0.495964843334527,8039,83
"04013093",0.624301400796272,NA,24
"04013103",0.403515705151376,10152,111
"04013104",0.430876125277574,9721,107
"04013105",0.455204025813148,4640,50
"04013106",0.489064485914588,3636,41
"04013107",0.555800116536774,3506,41
"04013108",0.500805537471361,2827,37
"04013109",0.664489724444351,6267,62
"04013110",0.548628151533307,3075,34
"04013111",0.545544036875014,3822,45
"04013112",0.623237243962989,6880,68
"04013113",0.614186079014624,2817,30
"04013114",0.630758551848096,3002,20
"04013115",0.621874794331705,2543,19
"04013116",0.400094580624739,13225,122
"04013117",0.585315724124617,796,9
"04013216",0.289484020475502,9760,110
"04013217",0.409679457870767,3264,50
"04013218",0.551235558787629,908,13
"04013318",0.427434801162558,1331,16
"04013319",0.405906858787522,7571,78
"04013320",0.498115374632402,1223,14
"04013420",0.380361201782384,12198,111
"04013421",0.586314039512802,5081,58
"04013422",0.382251856619094,24513,218
"04013522",0.586877046583239,1150,9
"04013523",0.465239651648364,2387,26
"04013610",0.256798033455541,3044,31
"04013611",0.265509404106731,2824,26
"04013612",0.207435504356524,2433,19
"04013613",0.215246251267418,2802,28
"04013614",0.303778072987351,3011,35
"04013615",0.31868014362364,2850,25
"04013616",0.416327009225103,2596,30
"04013617",0.258346310597639,2686,32
"04013618",0.425088577179757,2846,29
"04013619",0.399063361833007,2693,28
"04013723",0.46182826300939,NA,10
"04013810",0.353318436911714,3293,31
"04013811",0.354186514272381,2894,23
"04013812",0.273870278641816,2345,24
"04013813",0.269194911564625,2937,20
"04013814",0.256096239784227,3107,25
"04013815",0.25387396877013,2575,23
"04013816",0.234532178852442,2745,22
"04013817",0.388533365371998,1777,18
"04013940",0.880607638172938,18,1
"04013941",0.580543217408155,1296,8
"04013980",0.516959108954483,NA,5
"05035030",0.409660259441137,3693,34
"05035031",0.466445959133519,731,8
"06001400",0.528554396751053,2347,24
"06001401",0.532367172776283,2093,29
"06001402",0.502284998626028,1268,13
"06001403",0.529771647323806,2231,28
"06001404",0.482925975797857,3309,32
"06001405",0.598480023449372,3274,40
"06001406",0.536041375519513,3533,42
"06001407",0.580056994473707,NA,38
"06001408",0.513752696563609,3201,38
"06001409",0.506438062649449,3035,34
"06001410",0.453244297978533,1545,15
"06001420",0.537298467824114,1628,15
"06001421",0.593623629381339,2847,28
"06001422",0.5563628453711,NA,25
"06001423",0.532544167520718,3128,34
"06001424",0.549817020786966,548,6
"06001425",0.477593823020507,596,10
"06001426",0.600013143064328,836,9
"06001427",0.555737351302071,2176,30
"06001428",0.520949595199912,3024,28
"06001430",0.462418707576337,3243,30
"06001431",0.562133099169452,724,7
"06001432",0.511007614665991,2866,29
"06001433",0.471928778687466,3818,45
"06001434",0.5444973555921,339,3
"06001435",0.486071513740386,4173,37
"06001436",0.46805467621352,4226,34
"06001437",0.443851686955869,4038,31
"06001438",0.414847260659996,2319,21
"06001440",0.46842689513971,5147,36
"06001441",0.447931285131109,7974,64
"06001442",0.500570169999489,4244,34
"06001443",0.432728257054657,3566,23
"06001444",0.456818633114265,2768,22
"06001450",0.455183074203235,9365,60
"06001451",0.453800349307797,5480,49
"06001981",0.61493654536306,6,1
"06001982",0.562666994629247,19,1
"06001983",0.310224915636494,74,1
"06013301",0.479514769768146,283,3
"06013302",0.402092529676079,2159,16
"06013303",0.406929681231281,2975,19
"06013304",0.378165607888061,1053,9
"06013305",0.571200495242224,291,5
"06013306",0.520156224420866,673,7
"06013307",0.569771847178265,1708,19
"06013308",0.51241950072967,699,6
"06013309",0.241441475995496,242,2
"06013310",0.367341229961831,438,3
"06013311",0.462659839566513,382,3
"06013312",0.491009199429989,217,1
"06013313",0.446889917267368,2207,19
"06013314",0.464339464747855,1647,13
"06013315",0.505089935978321,252,2
"06013316",0.583237087823678,191,1
"06013317",0.475208830509517,155,2
"06013318",0.61554728270534,279,3
"06013319",0.478605753797407,391,6
"06013320",0.408860086925554,834,6
"06013321",0.428929429487834,1528,14
"06013322",0.402899824128624,325,5
"06013323",0.37421430793659,416,4
"06013324",0.447598062440046,495,7
"06013325",0.460924302102355,396,5
"06013326",0.465903274699931,355,2
"06013327",0.444116984048107,335,5
"06013328",0.477178979579789,226,2
"06013329",0.62595447529894,307,4
"06013330",0.503114443994517,424,4
"06013331",0.437212118015969,379,6
"06013332",0.51902053485455,453,7
"06013333",0.462307397506537,823,11
"06013334",0.483214189161762,1613,14
"06013335",0.403387901841582,299,3
"06013336",0.646548289747989,1101,13
"06013337",0.516521836723149,1064,14
"06013338",0.445913067768158,2063,20
"06013339",0.545124723396205,485,6
"06013340",0.351358104922842,737,10
"06013341",0.410456917494572,283,3
"06013343",0.518255462611885,964,8
"06013345",0.419023355506472,4941,42
"06013346",0.342149151749059,1958,14
"06013347",0.52386942535063,388,3
"06013348",0.469818764231667,479,3
"06013349",0.534345331154413,376,3
"06013350",0.460434987390503,332,4
"06013351",0.357677900607669,937,11
"06013352",0.511991245741002,1707,10
"06013353",0.447778793447799,741,6
"06013354",0.443072855752062,647,5
"06013355",0.36112918176192,6073,43
"06013356",0.490418481852102,648,7
"06013357",0.464822881710748,269,3
"06013358",0.486290825452656,337,5
"06013359",0.448382249921214,2252,19
"06013360",0.42751942918448,1004,9
"06013361",0.467212297484195,389,3
"06013362",0.569022847521115,254,3
"06013363",0.419429464640458,340,4
"06013364",0.538437128710136,377,3
"06013365",0.445521413257688,530,6
"06013366",0.694227976570795,710,6
"06013367",0.473431115805371,722,7
"06013368",0.663189682918439,504,6
"06013369",0.559223900968637,576,7
"06013370",0.50026454729567,230,3
"06013371",0.517929343424652,362,6
"06013372",0.581867773463536,358,7
"06013373",0.639259963196105,286,3
"06013374",0.547447640243228,329,4
"06013375",0.638363564964976,269,3
"06013376",0.623818160782387,418,4
"06013377",0.601612307104257,295,5
"06013378",0.333092820885473,230,2
"06013379",0.483131325725998,413,4
"06013380",0.48010849167066,243,3
"06013381",0.646647244403737,342,5
"06013382",0.571927134271943,305,4
"06013383",0.495448861661222,319,3
"06013384",0.470277607220088,343,4
"06013385",0.429459712452825,438,4
"06013386",0.47512622333679,280,4
"06013387",0.451200052695932,227,3
"06013388",0.573948892548581,236,2
"06013389",0.537831327973496,475,4
"06013390",0.508384596181558,528,5
"06013391",0.572823489924878,236,2
"06013392",0.435029466299192,1275,8
"06037101",0.513753086977068,1903,16
"06037102",0.618460649141445,814,7
"06037103",0.560908279855171,1696,17
"06037104",0.601350194688263,6578,48
"06037106",0.559786690072899,6960,51
"06037107",0.608338764427486,700,3
"06037108",0.537494357567315,1821,8
"06037109",0.566105614182492,3034,31
"06037111",0.529986063837914,3018,28
"06037113",0.512008598439859,5542,40
"06037115",0.484475177056394,3244,20
"06037117",0.549699296427223,4283,27
"06037119",0.578003908285333,4538,37
"06037120",0.445367104740142,3118,21
"06037121",0.603077944294485,3137,29
"06037122",0.525499503672351,2113,17
"06037123",0.489622247210155,6396,51
"06037124",0.474338388681329,3465,38
"06037125",0.358200757160999,2147,24
"06037127",0.431665392684774,5071,42
"06037128",0.437058382061908,3667,35
"06037131",0.556416454127444,3971,31
"06037132",0.531773497528856,2460,25
"06037133",0.561206313452741,746,7
"06037134",0.499839406940099,7787,52
"06037135",0.514158790854016,1948,20
"06037137",0.488758115045544,3238,24
"06037138",0.57466677453063,358,3
"06037139",0.488997103889665,4287,39
"06037141",0.386695876105759,2642,26
"06037143",0.38485481348157,3052,35
"06037181",0.515632833802919,1833,16
"06037183",0.552067467413305,4471,39
"06037185",0.578958566522525,1687,15
"06037186",0.467176400790385,2219,21
"06037187",0.422131695450001,963,8
"06037188",0.418763297239231,912,12
"06037189",0.403769982083834,3084,36
"06037190",0.440516384504226,2893,31
"06037191",0.459037785246686,4803,40
"06037192",0.427364650831173,2496,25
"06037194",0.46916436761476,1512,16
"06037195",0.473599505436366,3468,40
"06037197",0.485749395192353,2037,19
"06037199",0.528171864272111,3126,24
"06037201",0.554660431242508,3898,31
"06037203",0.562014643943075,2789,24
"06037204",0.553989624137273,3431,28
"06037205",0.491101522970985,701,3
"06037206",0.491069468905237,2633,14
"06037207",0.481466881126143,1730,14
"06037208",0.494989819992599,4123,34
"06037209",0.483705869681592,3187,21
"06037210",0.507842149890506,221,3
"06037211",0.475001412801967,4856,46
"06037212",0.507963066861713,4276,35
"06037213",0.421228454469619,2070,16
"06037214",0.367508743586535,2404,34
"06037215",0.384772562683634,311,4
"06037216",0.427732022932125,1965,28
"06037217",0.405433255621447,1028,15
"06037218",0.418491656340726,3297,34
"06037219",0.46977437046282,2183,22
"06037220",0.457942557679846,432,8
"06037221",0.499091754618197,4545,33
"06037222",0.453251451006152,2160,18
"06037224",0.497388336851927,2673,19
"06037226",0.512848474265389,1314,13
"06037227",0.4950205048317,572,4
"06037228",0.532481647075154,4266,36
"06037229",0.528686159438136,1823,11
"06037231",0.568342583420325,3576,33
"06037232",0.552384287020006,3139,28
"06037234",0.483548151700712,2328,34
"06037235",0.525738320920771,911,10
"06037236",0.412348147991753,1312,19
"06037237",0.480314431797848,3509,43
"06037238",0.491503116287787,1635,23
"06037239",0.493322402313168,3802,36
"06037240",0.489559393801515,3714,40
"06037241",0.468104133112679,2194,24
"06037242",0.52536011515294,1879,19
"06037243",0.530680673901403,876,7
"06037261",0.603323974459466,1002,6
"06037262",0.579847073739202,3632,28
"06037264",0.361942919931417,1131,11
"06037265",0.396477481823159,4094,30
"06037267",0.382217248739783,3033,32
"06037269",0.492224813242101,3253,37
"06037270",0.466030706649529,774,9
"06037271",0.468657241464898,3369,39
"06037272",0.453709816193884,1238,14
"06037273",0.37516355861379,2072,33
"06037274",0.351739686745283,481,6
"06037275",0.448490357666966,2469,23
"06037276",0.475121142288862,2428,23
"06037277",0.523347551613622,969,12
"06037278",0.480432470724731,489,5
"06037291",0.471185483017163,1728,15
"06037292",0.527198563279729,482,4
"06037293",0.463467670254383,2122,15
"06037294",0.598679412272736,5086,38
"06037295",0.53782703338965,259,2
"06037296",0.596737033128355,2213,26
"06037297",0.456693555264089,2545,31
"06037300",0.520972522982674,4259,49
"06037301",0.451850981059929,5055,55
"06037302",0.413802762976977,4616,46
"06037310",0.456420260313708,3747,44
"06037311",0.464010604790904,3047,33
"06037320",0.618570847653809,1477,18
"06037400",0.51952760034127,5343,35
"06037401",0.533626485039869,7744,58
"06037402",0.592585885878905,NA,66
"06037403",0.534875092249422,12304,89
"06037404",0.51976069078827,7297,54
"06037405",0.515316180732778,5487,48
"06037406",0.537024360333634,5455,51
"06037407",0.617503642171899,6271,51
"06037408",0.555454260611865,13864,86
"06037430",0.517727222850864,7252,74
"06037431",0.526864089395217,4027,42
"06037432",0.508817910950971,6201,52
"06037433",0.521899825828668,6388,50
"06037434",0.546588084360542,969,7
"06037460",0.544167502626055,4362,49
"06037461",0.549773195366174,3463,38
"06037462",0.479124465791133,3535,40
"06037463",0.480285544972343,3598,36
"06037464",0.519614440372704,1180,18
"06037480",0.49441159535168,7213,62
"06037481",0.535420206246384,7478,63
"06037482",0.557047633452932,6921,55
"06037500",0.575637074858912,4032,41
"06037501",0.565530404533248,4223,47
"06037502",0.574028822211333,6222,55
"06037503",0.595956588846694,7610,67
"06037504",0.610916420229659,1499,12
"06037530",0.54162249859801,6223,50
"06037531",0.568803110189436,5990,53
"06037532",0.5782553324903,5338,44
"06037533",0.586785984955044,8833,67
"06037534",0.563034983262706,7232,47
"06037535",0.501687381481839,7835,65
"06037536",0.546355111736605,1679,17
"06037540",0.48862798963745,5697,52
"06037541",0.52494885562853,4546,47
"06037542",0.476953944897822,5006,47
"06037543",0.558781484889828,9087,74
"06037544",0.532523444907706,515,7
"06037550",0.602493227444327,4116,56
"06037551",0.542041663670996,4224,48
"06037552",0.548867517226264,4547,44
"06037553",0.495855372827177,6081,49
"06037554",0.489123978348533,10526,77
"06037555",0.530137231089828,2737,18
"06037570",0.495247605335794,8123,78
"06037571",0.490158622027468,4524,60
"06037572",0.502974709598097,3868,36
"06037573",0.507888995195431,4308,45
"06037574",0.552810942704337,4246,46
"06037575",0.504368145555474,NA,41
"06037576",0.487037039221096,5033,51
"06037577",0.419854134140145,2887,37
"06037599",0.41735206929173,332,6
"06037600",0.485301597147234,5077,52
"06037601",0.428696506640385,5282,48
"06037602",0.508295533353623,7444,79
"06037603",0.449182505986826,5341,55
"06037604",0.465423147416106,1009,12
"06037609",0.590194531285844,252,2
"06037620",0.46113173119071,6087,79
"06037621",0.43320459540037,3089,33
"06037650",0.511899449336206,6204,62
"06037651",0.521099044758335,3796,37
"06037670",0.555836642332957,6853,49
"06037700",0.425999626964867,3353,48
"06037701",0.40271122044025,4726,54
"06037702",0.451174258414033,4259,61
"06037703",0.502757455585529,1160,19
"06037800",0.471609886076961,6173,48
"06037900",0.46180884940677,7864,60
"06037901",0.461179107418263,5117,30
"06037910",0.425286914226071,13776,84
"06037911",0.547622224411304,271,3
"06037920",0.478380839653299,19652,126
"06037930",0.529539722331891,211,5
"06037980",0.53228856404098,NA,26
"06041101",0.532900547299138,457,2
"06041102",0.451052581706363,852,10
"06041103",0.475316450559192,831,7
"06041104",0.374995162345754,1198,10
"06041105",0.102274436108887,344,2
"06041106",0.351832857674603,670,6
"06041107",0.431527189718159,372,5
"06041108",0.56733620302493,766,8
"06041109",0.502827016153509,539,6
"06041110",0.456074755101792,726,6
"06041111",0.575063347671026,307,4
"06041112",0.514872042399095,971,8
"06041113",0.405340524321211,286,4
"06041114",0.406452713964496,615,5
"06041115",0.480213360778983,445,4
"06041116",0.422140491389409,301,2
"06041117",0.521904453405731,297,4
"06041118",0.562702047185228,364,2
"06041119",0.459743201103963,960,10
"06041120",0.463339433426008,378,5
"06041121",0.491276922348356,651,9
"06041122",0.39733488363934,665,1
"06041123",0.467523849857305,342,2
"06041124",0.424946061951841,674,9
"06041125",0.465589784959329,424,3
"06041126",0.4477470775758,639,8
"06041127",0.457492667648058,337,5
"06041128",0.457864524825411,825,6
"06041129",0.40877136359144,172,2
"06041130",0.413450230740668,440,7
"06041131",0.387598724170537,126,3
"06041132",0.572758557199371,299,5
"06041133",0.474381902604163,467,4
"06041990",0.479555026595274,0,1
"06059001",0.517497449481367,11045,100
"06059011",0.488458042799267,9162,84
"06059021",0.298211154524014,NA,101
"06059032",0.256104114165911,15462,129
"06059042",0.279949275856201,12665,137
"06059052",0.330963405687557,14074,135
"06059062",0.290982834694181,13930,133
"06059063",0.371863016476856,10753,109
"06059074",0.697820024301479,14854,95
"06059075",0.501158809034839,15396,129
"06059076",0.48260091338056,4767,41
"06059086",0.61530937472722,9065,75
"06059087",0.653280462251016,10536,89
"06059088",0.576777581356688,11915,78
"06059089",0.632930112780343,3758,22
"06059099",0.380104470271191,28762,243
"06059110",0.44930666505284,15256,121
"06059980",0.665882490335471,2,1
"06061020",0.387116607403867,7078,73
"06061021",0.30161594543132,11221,99
"06061022",0.303070976514815,2781,24
"06061023",0.116165235453521,2936,16
"06061990",0.328170930944282,0,1
"06065030",0.552617367728575,4616,51
"06065031",0.59461132902788,4773,54
"06065040",0.511895053556492,14792,94
"06065041",0.490300346144568,16014,108
"06065042",0.447146971725418,NA,186
"06065043",0.39787183101474,28907,208
"06065044",0.445240695072738,12840,93
"06065045",0.467286821350504,13649,100
"06065046",0.494964513051667,NA,32
"06065047",0.330837836179163,1011,9
"06065048",0.47858588590756,2132,12
"06065049",0.367801627184735,2072,18
"06065050",0.376575334386375,2562,25
"06065051",0.357554196682318,1350,9
"06065940",0.346157644392536,5110,14
"06065941",0.340812521606615,5034,15
"06065980",0.473888148132637,0,1
"06065981",0.739533098626901,1167,1
"06067000",0.416965233594885,2080,22
"06067001",0.349905763436108,2384,34
"06067002",0.439408081611242,2506,34
"06067003",0.480188207233871,4206,43
"06067004",0.458132228067421,9678,83
"06067005",0.396968312711578,7894,84
"06067006",0.392604060999494,4907,60
"06067007",0.35719720122737,18746,169
"06067008",0.314018909110574,20934,188
"06067009",0.357325199562037,24972,194
"06067988",0.429946326014059,1237,1
"06071000",0.492888327896963,15914,143
"06071001",0.58380357224801,10784,94
"06071002",0.475657201158888,21077,154
"06071003",0.568322142881649,8384,78
"06071004",0.581393013358611,8160,76
"06071005",0.586707084000248,2990,35
"06071006",0.612514562222778,4192,42
"06071007",0.502824073896189,8313,85
"06071008",0.483597744716075,7842,84
"06071009",0.456676754633508,11883,100
"06071010",0.468262644059543,13033,122
"06071011",0.446479101493517,2991,47
"06071012",0.526953980817931,3636,25
"06071025",0.453841314686376,754,3
"06071940",0.405967839096584,202,2
"06071980",0.485534715758391,312,2
"06073000",0.452045363312524,2236,33
"06073001",0.51349528720142,2747,40
"06073002",0.560188630666097,9365,85
"06073003",0.529155334748511,NA,102
"06073004",0.59796976743681,2849,32
"06073005",0.446767569981118,2407,22
"06073006",0.527972094113293,NA,18
"06073007",0.470137199324796,4202,60
"06073008",0.487430644788679,23125,209
"06073009",0.509810902413791,NA,109
"06073010",0.611558740850782,10913,77
"06073011",0.599091578835465,3105,25
"06073012",0.63788804855914,4469,36
"06073013",0.570245863134497,17753,132
"06073014",0.552577885386289,5021,47
"06073015",0.566963209379018,6991,55
"06073016",0.558740483343867,11725,92
"06073017",0.439885588278308,22374,193
"06073018",0.527842868565054,14559,109
"06073019",0.519906003613192,13664,106
"06073020",0.554096698727342,21567,171
"06073021",0.532582614196045,6152,36
"06073022",0.387819314005784,910,5
"06075010",0.567122050845548,2055,27
"06075011",0.603326921162818,1607,18
